comment,equipId,countAt,reset,grouping,shipNames,classNames,shipTypes,subEquipIds,subEquipCategories,subEquipIds2,subEquipCategories2,firepower,bombing,torpedo,antiair,ASW,evasion,LoS,armor,accuracy,range,lastModified,subEquipLevel,subEquipLevel2
艦偵共通,54|151|273,1,,1,,改伊勢型,軽空母|正規空母|装甲空母,,,,,0|0|0|0|1|1|1|1|1|1|2,,0,0,0,0,0|0|1|1|1|1|2|2|2|2|3,0,0,0,2021/08/05
10cm連装高角砲:3/10cm高角砲+高射装置:122/10cm連装高角砲改+高射装置改:533/10cm連装高角砲改:553,3|122|533|553,*,,1,,秋月型,,,,,,1,,,2,,1,,,,,2026/07/20
,3|122|533|553,*,,1,秋月改二|初月改二,,,,,,,1,,,,,1,,,1,,2026/07/20
,3|122|533|553,*,,1,涼波改二補|藤波改二|早波改二|浜波改二|玉波改二|涼波改二,,,,,,,1,,,1,,1,,,,,2026/07/20
10cm連装高角砲改+高射装置改:533/10cm連装高角砲改:553,533|553,*,,1,吹雪改二|白雪改二|初雪改二|吹雪改三|吹雪改三護(六式),,,,,,,1|1|1|1|1|1|1|1|1|1|2,,,1|1|1|1|2|2|2|2|2|2|2,,0|0|0|0|0|0|1|1|1|1|1,,,0|0|0|0|0|0|0|0|1|1|1,,2026/07/20
15.5cm三連装砲,5,*,,,,最上型|大淀型,,,,,,1,,,,,,,,,,2026/07/20
,5,*,,,,大淀型,,,,,,1,,,,,,,,,,2026/07/20
61cm四連装(酸素)魚雷,15,1,,,陽炎改二|不知火改二|黒潮改二|秋雲改二|丹陽|雪風改二|親潮改二|早潮改二|天津風改二,,,,,,,,,2,,,,,,,,2026/07/20
,15,2,,,陽炎改二|不知火改二|黒潮改二|秋雲改二|丹陽|雪風改二|親潮改二|早潮改二|天津風改二,,,,,,,,,2,,,,,,,,2026/07/20
,15,1,,,竹|竹改,,,,,,,,,5,,,1,,,,,2026/07/20
流星:18/流星改:52,18|52,*,,1,大鳳改|赤城改|加賀改,,,,,,,1,,,,,,,,,,2026/07/20
,18|52,*,,1,赤城改二|加賀改二護|加賀改二,,,,,,,1,,,,,1,,,,,2026/07/20
,18|52,*,,1,赤城改二戊|加賀改二戊,,,,,,,2,,,,,1,,,,,2026/07/20
九六式艦戦,19,*,,,,,軽空母,,,,,,,,1,,1,,,,,2026/07/20
,19,*,,,,春日丸級|特設航空母艦|大鷹型,,,,,,2,,,,3,,,,,,2026/07/20
,19,*,,,鳳翔|鳳翔改|鳳翔改二|鳳翔改二戦,,,,,,,2,,,2,2,2,,,,,2026/07/20
,19,*,,,鳳翔改二|鳳翔改二戦,,,,,,,1,,,1,1,1,,,,,2026/07/20
彗星:24/彗星一二型甲:57/彗星(六〇一空):111,24|57|111,*,,1,伊勢改二|日向改二,,,,,,,2,,,,,,,,,,2026/07/20
21号対空電探:30/21号対空電探改二:410,30|410,1,,1,最上改|最上改二|三隈改二|最上改二特|三隈改二特,,,,,,,,,,3,,2,2,,,,2026/07/20
,30|410,1,,1,,秋月型,,,,,,,,,3,,2,2,,,,2026/07/20
21号対空電探改二,410,1,,,最上改|最上改二|三隈改二|最上改二特|三隈改二特,,,,,,,1,,,2,,2,,1,,,2026/07/20
,410,1,,,,秋月型,,,,,,1,,,2,,2,,1,,,2026/07/20
,410,1,,,秋月改二|初月改二,,,,,,,1,,,1,,1,,,,,2026/07/20
三式弾,35,1,,,金剛改二|金剛改二丙|比叡改二丙|霧島改二丙,,,,,,,1,,,1,,,,,,,2026/07/20
,35,1,,,比叡改二,,,,,,,,,,1,,,,,,,2026/07/20
,35,1,,,榛名改二|榛名改二乙|榛名改二丙,,,,,,,,,,1,,1,,,,,2026/07/20
,35,1,,,霧島改二,,,,,,,1,,,,,,,,,,2026/07/20
25mm連装機銃:39/25mm三連装機銃:40/25mm単装機銃:49/25mm三連装機銃 集中配備:131/25mm連装機銃(熟練機銃員分隊):575,39|40|49|131|575,*,,1,能代改二|矢矧改二,,,,,,,,,,2,,1,,,,,2026/07/20
,39|40|49|131|575,*,,1,矢矧改二乙,,,,,,,,,,3,,2,,,,,2026/07/20
,39|40|49|131|575,*,,1,,香取型,,,,,,1,,,2,,2,,,,,2026/07/20
,39|40|49|131|575,1,,1,,香取型,,,対空電探,,,,,,2,,2,,,,,2026/07/20
,39|40|49|131|575,*,,1,稲木改二,,,,,,,,,,2,,3,,,,,2026/07/20
25mm連装機銃,39,*,,,稲木改二,,,,,,,0|0|0|0|0|0|0|0|0|0|1,,,0|0|0|0|0|0|0|0|0|2|2,,0|0|0|0|0|0|0|0|1|1|1,,,,,2026/07/20
,39,*,,,白雪改二|初雪改二,,,,,,,0|0|0|0|0|0|0|1|1|1|1,,,1|1|1|1|1|1|1|1|2|2|2,,1|1|1|1|1|1|1|1|1|2|2,,,0|0|0|0|0|0|0|0|0|0|1,,2026/07/20
,39,1,,,白雪改二|初雪改二,,,533|553,,,,,,,1,,,,,1,,2026/07/20
25mm三連装機銃,40,*,,,稲木改二,,,,,,,0|0|0|0|0|0|0|0|0|0|1,,,0|0|0|0|0|0|0|0|0|2|2,,,,,,,2026/07/20
,40,*,,,白雪改二|初雪改二,,,,,,,,,,1,,1,,,,,2026/07/20
25mm単装機銃,49,*,,,稲木改二,,,,,,,0|0|0|0|0|0|0|0|0|0|1,,,0|0|0|0|0|0|0|1|1|2|2,,2|2|2|2|2|2|2|2|3|3|3,,,0|0|0|0|0|0|1|1|1|1|1,,2026/07/20
,49,*,,,白雪改二|初雪改二,,,,,,,,,,1,,1,,,,,2026/07/20
25mm三連装機銃 集中配備,131,*,,,稲木改二,,,,,,,,,,0|0|0|0|0|0|0|0|0|0|2,,,,,,,2026/07/20
九四式爆雷投射機:44/三式爆雷投射機:45/三式爆雷投射機 集中配備:287/試製15cm9連装対潜噴進砲:288/三式爆雷投射機改:569,44|45|287|288|569,*,,1,,香取型,,,,,,,,,,3,2,,,,,2026/07/20
九三式水中聴音機:46/三式水中探信儀:47/零式水中聴音機:132/四式水中聴音機:149/三式水中探信儀改:438,46|47|132|149|438,1,,1,,香取型,,,,,,,,,,2,3,,,,,2026/07/20
三式水中探信儀:47/三式水中探信儀改:438,47|438,*,,1,時雨|時雨改|時雨改二|時雨改三|朝霜|朝霜改|朝霜改二|朝霜改二補|神風|神風改|春風|春風改|山風|山風改|山風改二|山風改二丁|舞風|舞風改,,,,,,,1,,,,3,2,,,,,2026/07/20
,47|438,*,,1,潮|潮改|潮改二|雷|雷改|山雲|山雲改|磯風|磯風改|磯風乙改|浜風|浜風改|浜風乙改|岸波|岸波改,,,,,,,,,,,2,2,,,,,2026/07/20
烈風 一一型,53,*,,,大泊|大泊改|しまね丸|しまね丸改|南海|野埼|野埼改,綾波型|伊勢型|改伊勢型|加賀型|改加賀型|球磨型|改装球磨型|暁型|金剛型|改金剛型|古鷹型|高雄型|最上型|初春型|祥鳳型|吹雪型|青葉型|赤城型|千歳型|川内型|蒼龍型|朝潮型|長門型|長良型|天龍型|島風型|白露型|改白露型|改装白露型|飛鷹型|飛龍型|扶桑型|鳳翔型|改鳳翔型|睦月型|妙高型|陽炎型|改装陽炎型|改陽炎型|利根型|龍驤型|翔鶴型|夕張型|海大VI型|巡潜乙型改二|大和型|改大和型|夕雲型|改夕雲型|巡潜乙型|巡潜3型|阿賀野型|改阿賀野型|大鳳型|潜特型(伊400型潜水艦)|特種船丙型|三式潜航輸送艇|明石型|大鯨型|龍鳳型|改龍鳳型|大淀型|雲龍型|秋月型|香取型|秋津洲型|改風早型|瑞穂型|神風型|巡潜甲型改二|神威型|占守型|春日丸級|特設航空母艦|大鷹型|択捉型|日振型|呂号潜水艦|日進型|御蔵型|陸軍特種船(R1)|迅鯨型|松型|巡潜丙型|丁型海防艦|潜高型|耐氷型雑用運送艦|特2TL型|鵜来型|改鵜来型|特種船M丙型|第百一号型|改敷島型|改氷川丸級|巡潜乙型改一,,,,,,0|0|0|0|0|0|0|0|0|1|1,,,0|0|0|0|0|0|0|0|1|1|1,,0|0|0|0|0|0|0|1|1|1|1,,,0|0|0|0|0|0|0|0|0|0|1,,2026/07/20
,53,*,,,,加賀型|改加賀型|赤城型|蒼龍型|飛龍型|翔鶴型|大鳳型|雲龍型,,,,,,0|0|0|0|0|0|0|0|0|0|1,,,,,,,,,,2026/07/20
61cm五連装(酸素)魚雷,58,*,,,,島風型|秋月型,,,,,,,,1,,,,,,,,2026/07/20
,58,*,,,,,重雷装巡洋艦,,,,,,,1,,,,,,,,2026/07/20
